Updated On,State,Total Doses Administered,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
30-03-2021,India,61990242,53429356,8560886,,,,5820234,56170007,,28257441,25165987,5928
31-03-2021,India,63935590,55188803,8746787,,,,5979191,57956398,,29151242,26031409,6152
01-04-2021,India,66361722,57443466,8918256,,,,6164245,60197476,,30321468,27115615,6383
02-04-2021,India,70090836,60936753,9154083,,,,6415647,63675188,,32126426,28803529,6798
03-04-2021,India,73112119,63743700,9368419,,,,6619593,66492525,,33577406,30159173,7121
04-04-2021,India,76405697,66838504,9567193,,,,6880699,69524997,,35165269,31665721,7514
05-04-2021,India,79439889,69620234,9819655,,,,7162657,72277231,,36559511,33052869,7854
06-04-2021,India,82065337,72035640,10029697,,,,7419434,74645902,,37772299,34255180,8161
07-04-2021,India,87100627,76671812,10428815,,,,7832533,79268093,,40110598,36552499,8715
08-04-2021,India,91881530,80998099,10883431,,,,8167587,83713942,,42273620,38715200,9279
09-04-2021,India,95583419,84296847,11286572,,,,8425992,87157426,,43929844,40357259,9744
10-04-2021,India,99069354,87411872,11657482,,,,8678151,90391202,,45508111,41893575,10186
11-04-2021,India,102000401,90111528,11888873,,,,8865852,93134548,,46895781,43205152,10595
12-04-2021,India,105970539,93559587,12410952,,,,9117558,96852980,,48669828,44878560,11199
13-04-2021,India,108598289,95823614,12774675,,,,9279181,99319107,,49885738,45926378,11498
14-04-2021,India,111913288,98703696,13209592,,,,9632303,102280984,,51361929,47329847,11920
15-04-2021,India,114598026,100853671,13744355,,,,9850203,104747822,,52488916,48352489,12266
16-04-2021,India,117305344,102927296,14378048,,,,10178643,107126700,,53575244,49339504,12548
17-04-2021,India,119971369,104950409,15020960,,,,10555424,109415944,,54647827,50289664,12918
18-04-2021,India,121207098,105896430,15310668,,,,10711610,110495487,,55151208,50732172,13050
19-04-2021,India,124457162,108178574,16278588,,,,11106751,113350410,,56358692,51806475,13407
20-04-2021,India,127428887,110165234,17263653,,,,11515707,115913179,,57420010,52731510,13714
21-04-2021,India,129646105,111673361,17972744,,,,11799916,117846188,,58217380,53441979,14002
22-04-2021,India,132754608,113584269,19170339,,,,12176768,120577839,,59214377,54355513,14379
23-04-2021,India,135658324,115461202,20197122,,,,12507127,123151196,,60208977,55237448,14777
24-04-2021,India,138185956,117105343,21080613,,,,12775153,125410802,,61078797,56011474,15072
25-04-2021,India,139185173,117795008,21390165,,,,12866845,126318327,,61442119,56337692,15197
26-04-2021,India,142524947,119886252,22638695,,,,13127022,129397924,,62534884,57335805,15563
27-04-2021,India,144879233,121263287,23615946,,,,13362545,131516688,,63266613,57980903,15771
28-04-2021,India,147053392,122538179,24515213,,,,13636237,133417155,,63938524,58583701,15954
29-04-2021,India,149268772,123811908,25456864,,,,13926050,135342722,,64611787,59183960,16161
30-04-2021,India,151998107,125376952,26621155,,,,14178643,137819464,,65445771,59914751,16430
01-05-2021,India,153626325,126328970,27297355,,,,14369918,139256407,,65972485,60339903,16582
02-05-2021,India,154211511,126704151,27507360,,,,14417017,139794494,,66183753,60503747,16651
03-05-2021,India,156082136,127696675,28385461,,,,14654260,141427876,,66737774,60942039,16862
04-05-2021,India,157750752,128627919,29122833,,,,14892657,142858095,,67265833,61344881,17205
05-05-2021,India,159931238,129730641,30200597,,,,15127348,144803890,,67881167,61832097,17377
06-05-2021,India,162603603,131058890,31544713,,,,15424914,147178689,,68616643,62424602,17645
07-05-2021,India,165190000,132294827,32895173,,,,15761911,149428089,,69304346,62972623,17858
08-05-2021,India,167493857,133366482,34127375,,,,16195122,151298735,,69899266,63449164,18052
09-05-2021,India,168304868,133854676,34450192,,,,16321015,151983853,,70186220,63650307,18149
